# Throughput Monitoring Output
# Format: timestamp(ns),nodeType(0=host/1=switch),nodeId,portId,deltaTxBytes,deltaRxBytes,txThroughputMbps,rxThroughputMbps
2000981000,1,2,2,3168,120,8448.00,320.00
2000984000,1,2,1,120,2112,320.00,5632.00
2000984000,1,2,2,2112,120,5632.00,320.00
2000987000,1,2,1,180,2112,480.00,5632.00
2000987000,1,2,2,2112,180,5632.00,480.00
2000990000,1,2,1,120,2112,320.00,5632.00
2000990000,1,2,2,2112,120,5632.00,320.00
2000993000,1,2,1,120,3168,320.00,8448.00
2000993000,1,2,2,3168,120,8448.00,320.00
2000996000,1,2,1,120,2112,320.00,5632.00
2000996000,1,2,2,2112,120,5632.00,320.00
2000999000,1,2,1,180,2112,480.00,5632.00
2000999000,1,2,2,2112,180,5632.00,480.00
2001002000,1,2,1,120,3168,320.00,8448.00
2001002000,1,2,2,3168,120,8448.00,320.00
2001005000,1,2,1,120,2112,320.00,5632.00
2001005000,1,2,2,2112,120,5632.00,320.00
2001008000,1,2,1,180,2112,480.00,5632.00
2001008000,1,2,2,2112,180,5632.00,480.00
2001011000,1,2,1,120,3168,320.00,8448.00
2001011000,1,2,2,3168,120,8448.00,320.00
2001014000,1,2,1,180,2112,480.00,5632.00
2001014000,1,2,2,2112,180,5632.00,480.00
2001017000,1,2,1,120,3168,320.00,8448.00
2001017000,1,2,2,3168,120,8448.00,320.00
2001020000,1,2,1,120,2112,320.00,5632.00
2001020000,1,2,2,2112,120,5632.00,320.00
2001023000,1,2,1,180,3168,480.00,8448.00
2001023000,1,2,2,3168,180,8448.00,480.00
2001026000,1,2,1,120,2112,320.00,5632.00
2001026000,1,2,2,2112,120,5632.00,320.00
2001029000,1,2,1,180,3168,480.00,8448.00
2001029000,1,2,2,3168,180,8448.00,480.00
2001032000,1,2,1,180,2112,480.00,5632.00
2001032000,1,2,2,2112,180,5632.00,480.00
2001035000,1,2,1,120,3168,320.00,8448.00
2001035000,1,2,2,3168,120,8448.00,320.00
2001038000,1,2,1,180,3168,480.00,8448.00
2001038000,1,2,2,3168,180,8448.00,480.00
2001041000,1,2,1,120,2112,320.00,5632.00
2001041000,1,2,2,2112,120,5632.00,320.00
2001044000,1,2,1,180,3168,480.00,8448.00
2001044000,1,2,2,3168,180,8448.00,480.00
2001047000,1,2,1,180,3168,480.00,8448.00
2001047000,1,2,2,3168,180,8448.00,480.00
2001050000,1,2,1,120,2112,320.00,5632.00
2001050000,1,2,2,2112,120,5632.00,320.00
2001053000,1,2,1,180,3168,480.00,8448.00
2001053000,1,2,2,3168,180,8448.00,480.00
2001056000,1,2,1,180,3168,480.00,8448.00
2001056000,1,2,2,3168,180,8448.00,480.00
2001059000,1,2,1,180,3168,480.00,8448.00
2001059000,1,2,2,3168,180,8448.00,480.00
2001062000,1,2,1,120,2112,320.00,5632.00
2001062000,1,2,2,2112,120,5632.00,320.00
2001065000,1,2,1,180,3168,480.00,8448.00
2001065000,1,2,2,3168,180,8448.00,480.00
2001068000,1,2,1,180,3168,480.00,8448.00
2001068000,1,2,2,3168,180,8448.00,480.00
2001071000,1,2,1,180,3168,480.00,8448.00
2001071000,1,2,2,3168,180,8448.00,480.00
2001074000,1,2,1,180,3168,480.00,8448.00
